SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,Yahoo Ticker,Sector,Industry
20MICRONS,20 Microns Limited,EQ,06-Oct-08,5,1,INE144J01027,5,20MICRONS.NS,Basic Materials,Other Industrial Metals & Mining
21STCENMGM,21st Century Management Services Limited,EQ,03-May-95,10,1,INE253B01015,10,21STCENMGM.NS,Financial Services,Capital Markets
360ONE,360 ONE WAM LIMITED,EQ,19-Sep-19,1,1,INE466L01038,1,360ONE.NS,Financial Services,Asset Management
3BBLACKBIO,3B Blackbio Dx Limited,EQ,20-Apr-26,10,1,INE994E01018,10,3BBLACKBIO.NS,,
3IINFOLTD,3i Infotech Limited,EQ,22-Oct-21,10,1,INE748C01038,10,3IINFOLTD.NS,Technology,Information Technology Services
3MINDIA,3M India Limited,EQ,13-Aug-04,10,1,INE470A01017,10,3MINDIA.NS,Industrials,Conglomerates
3PLAND,3P Land Holdings Limited,EQ,19-Jul-95,2,1,INE105C01023,2,3PLAND.NS,Unknown,Unknown
5PAISA,5Paisa Capital Limited,EQ,16-Nov-17,10,1,INE618L01018,10,5PAISA.NS,Financial Services,Capital Markets
63MOONS,63 moons technologies limited,EQ,20-Jun-05,2,1,INE111B01023,2,63MOONS.NS,Technology,Software - Application
A2ZINFRA,A2Z Infra Engineering Limited,EQ,23-Dec-10,10,1,INE619I01012,10,A2ZINFRA.NS,Industrials,Engineering & Construction
AAATECH,AAA Technologies Limited,EQ,28-Nov-22,10,1,INE0D0U01013,10,AAATECH.NS,Technology,Information Technology Services
AADHARHFC,Aadhar Housing Finance Limited,EQ,15-May-24,10,1,INE883F01010,10,AADHARHFC.NS,Financial Services,Mortgage Finance
AAKASH,Aakash Exploration Services Limited,BE,29-Sep-20,1,1,INE087Z01024,1,AAKASH.NS,Energy,Oil & Gas Equipment & Services
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,BE,06-Aug-21,10,1,INE198H01019,10,AAREYDRUGS.NS,Healthcare,Drug Manufacturers - Specialty & Generic
AARNAV,Aarnav Fashions Limited,EQ,25-Feb-26,10,1,INE750R01016,10,AARNAV.NS,,
AARON,Aaron Industries Limited,EQ,06-Nov-20,10,1,INE721Z01010,10,AARON.NS,Industrials,Specialty Industrial Machinery
AARTECH,Aartech Solonics Limited,EQ,10-Jul-23,5,1,INE01C001026,5,AARTECH.NS,Industrials,Electrical Equipment & Parts
AARTIDRUGS,Aarti Drugs Limited,EQ,19-Sep-03,10,1,INE767A01016,10,AARTIDRUGS.NS,Healthcare,Drug Manufacturers - Specialty & Generic
AARTIIND,Aarti Industries Limited,EQ,08-Feb-95,5,1,INE769A01020,5,AARTIIND.NS,Basic Materials,Specialty Chemicals
AARTIPHARM,Aarti Pharmalabs Limited,EQ,30-Jan-23,5,1,INE0LRU01027,5,AARTIPHARM.NS,Healthcare,Drug Manufacturers - Specialty & Generic
AARTISURF,Aarti Surfactants Limited,EQ,14-Jul-20,10,1,INE09EO01013,10,AARTISURF.NS,Basic Materials,Specialty Chemicals
AARVI,Aarvi Encon Limited,EQ,24-Jun-20,10,1,INE754X01016,10,AARVI.NS,Industrials,Staffing & Employment Services
AAVAS,Aavas Financiers Limited,EQ,08-Oct-18,10,1,INE216P01012,10,AAVAS.NS,Financial Services,Mortgage Finance
ABANSENT,Abans Enterprises Limited,BE,20-Apr-26,2,1,INE365O01028,2,ABANSENT.NS,,
ABB,ABB India Limited,EQ,08-Feb-95,2,1,INE117A01022,2,ABB.NS,Industrials,Specialty Industrial Machinery
ABBOTINDIA,Abbott India Limited,EQ,08-Jan-10,10,1,INE358A01014,10,ABBOTINDIA.NS,Healthcare,Drug Manufacturers - Specialty & Generic
